Pierre	Dupont	admin@test.fr	P@ssword1	ROLE_ADMIN
Claire	Martin	employee@test.fr	P@ssword1	ROLE_EMPLOYEE
Julien	Lemoine	user@test.fr	P@ssword1	ROLE_USER
Sophie	Durand	employee1@test.fr	P@ssword1	ROLE_EMPLOYEE
Lucas	Bernard	employee2@test.fr	P@ssword1	ROLE_EMPLOYEE
Emma	Robert	employee3@test.fr	P@ssword1	ROLE_EMPLOYEE
Nathan	Petit	employee4@test.fr	P@ssword1	ROLE_EMPLOYEE
Léa	Richard	employee5@test.fr	P@ssword1	ROLE_EMPLOYEE
Thomas	Lefebvre	employee6@test.fr	P@ssword1	ROLE_EMPLOYEE
Camille	Morel	employee7@test.fr	P@ssword1	ROLE_EMPLOYEE
Maxime	Guerin	employee8@test.fr	P@ssword1	ROLE_EMPLOYEE
Chloé	Boyer	employee9@test.fr	P@ssword1	ROLE_EMPLOYEE
Antoine	Gaillard	employee10@test.fr	P@ssword1	ROLE_EMPLOYEE
Louis	Faure	user1@test.fr	P@ssword1	ROLE_USER
Manon	Blanc	user2@test.fr	P@ssword1	ROLE_USER
Hugo	Bruel	user3@test.fr	P@ssword1	ROLE_USER
Alice	Noel	user4@test.fr	P@ssword1	ROLE_USER
Mathis	Dumont	user5@test.fr	P@ssword1	ROLE_USER
Sarah	Rey	user6@test.fr	P@ssword1	ROLE_USER
Enzo	Mallet	user7@test.fr	P@ssword1	ROLE_USER
Lola	Baron	user8@test.fr	P@ssword1	ROLE_USER
Victor	Aubert	user9@test.fr	P@ssword1	ROLE_USER
Julie	Poirier	user10@test.fr	P@ssword1	ROLE_USER
Adam	Guillot	user11@test.fr	P@ssword1	ROLE_USER
Eva	Colin	user12@test.fr	P@ssword1	ROLE_USER
Gabin	Benoit	user13@test.fr	P@ssword1	ROLE_USER
Clara	Leclerc	user14@test.fr	P@ssword1	ROLE_USER
Ethan	David	user15@test.fr	P@ssword1	ROLE_USER
Charlotte	Perrot	user16@test.fr	P@ssword1	ROLE_USER
Raphaël	Simon	user17@test.fr	P@ssword1	ROLE_USER
Léna	Schneider	user18@test.fr	P@ssword1	ROLE_USER
Noah	Marques	user19@test.fr	P@ssword1	ROLE_USER
Mélissa	Lemoine	user20@test.fr	P@ssword1	ROLE_USER
Baptiste	Collet	user21@test.fr	P@ssword1	ROLE_USER
Zoe	Gomez	user22@test.fr	P@ssword1	ROLE_USER
Théo	Marchand	user23@test.fr	P@ssword1	ROLE_USER
Nina	Lombard	user24@test.fr	P@ssword1	ROLE_USER
Axel	Fontaine	user25@test.fr	P@ssword1	ROLE_USER
Romane	Hubert	user26@test.fr	P@ssword1	ROLE_USER
Arthur	Giraud	user27@test.fr	P@ssword1	ROLE_USER
Salomé	Chauvet	user28@test.fr	P@ssword1	ROLE_USER
Léo	Munoz	user29@test.fr	P@ssword1	ROLE_USER
Pauline	Boucher	user30@test.fr	P@ssword1	ROLE_USER
Maxence	Paul	user31@test.fr	P@ssword1	ROLE_USER
Elsa	Lopez	user32@test.fr	P@ssword1	ROLE_USER
Jules	Rodriguez	user33@test.fr	P@ssword1	ROLE_USER
Maya	Dufour	user34@test.fr	P@ssword1	ROLE_USER
Matteo	Lemoine	user35@test.fr	P@ssword1	ROLE_USER
Léonie	Carpentier	user36@test.fr	P@ssword1	ROLE_USER
Gabriel	Renaud	user37@test.fr	P@ssword1	ROLE_USER
Ambre	Delaunay	user38@test.fr	P@ssword1	ROLE_USER
Valentin	Leclercq	user39@test.fr	P@ssword1	ROLE_USER
Lucie	Humbert	user40@test.fr	P@ssword1	ROLE_USER
Sasha	Bousquet	user41@test.fr	P@ssword1	ROLE_USER
Timéo	Chartier	user42@test.fr	P@ssword1	ROLE_USER
Élise	Pascal	user43@test.fr	P@ssword1	ROLE_USER
Killian	Descamps	user44@test.fr	P@ssword1	ROLE_USER
Jade	Peltier	user45@test.fr	P@ssword1	ROLE_USER
Nolan	Maillard	user46@test.fr	P@ssword1	ROLE_USER
Maëlys	Denis	user47@test.fr	P@ssword1	ROLE_USER
Simon	Coulon	user48@test.fr	P@ssword1	ROLE_USER
Anaïs	Morin	user49@test.fr	P@ssword1	ROLE_USER
Esteban	Laborde	user50@test.fr	P@ssword1	ROLE_USER
